t (µs);roll (deg);T_sample (µs)
46001132;1,6000061;
46011116;1,6000061;9984,000
46021116;1,6000061;10000,000
46031096;1,6000061;9980,000
46041104;1,6000061;10008,000
46051076;1,6100006;9972,000
46061076;1,6199951;10000,000
46071052;1,6199951;9976,000
46081040;1,6199951;9988,000
46091040;1,6300049;10000,000
46101024;1,6300049;9984,000
46111028;1,6300049;10004,000
46121008;1,6300049;9980,000
46131020;1,6399994;10012,000
46141028;1,6499939;10008,000
46150992;1,6499939;9964,000
46160984;1,6499939;9992,000
46170980;1,6499939;9996,000
46180968;1,6499939;9988,000
46190948;1,6600037;9980,000
46200928;1,6600037;9980,000
46210928;1,6600037;10000,000
46220928;1,6699982;10000,000
46230916;1,6699982;9988,000
46240924;1,6699982;10008,000
46250924;1,6699982;10000,000
46260884;1,6799927;9960,000
46270912;1,6799927;10028,000
46280888;1,6799927;9976,000
46290876;1,6900024;9988,000
46300884;1,6900024;10008,000
46310876;1,6900024;9992,000
46320836;1,6900024;9960,000
46330840;1,699997;10004,000
46340836;1,699997;9996,000
46350852;1,699997;10016,000
46360804;1,699997;9952,000
46370784;1,699997;9980,000
46380784;1,699997;10000,000
46390808;1,7100067;10024,000
46400780;1,7100067;9972,000
46410756;1,7100067;9976,000
46420732;1,7100067;9976,000
46430720;1,7200012;9988,000
46440716;1,7200012;9996,000
46450720;1,7200012;10004,000
46460716;1,7200012;9996,000
46470744;1,7200012;10028,000
46480696;1,7299957;9952,000
46490688;1,7299957;9992,000
46500692;1,7299957;10004,000
46510696;1,7299957;10004,000
46520664;1,7299957;9968,000
46530664;1,7299957;10000,000
46540640;1,7299957;9976,000
46550640;1,7400055;10000,000
46560628;1,7400055;9988,000
46570612;1,7400055;9984,000
46580592;1,7400055;9980,000
46590608;1,7400055;10016,000
46600592;1,7400055;9984,000
46610580;1,7400055;9988,000
46620572;1,75;9992,000
46630556;1,75;9984,000
46640556;1,75;10000,000
46650524;1,75;9968,000
46660532;1,75;10008,000
46670532;1,75;10000,000
46680536;1,7599945;10004,000
46690532;1,7599945;9996,000
46700512;1,7599945;9980,000
46710500;1,7599945;9988,000
46720468;1,7599945;9968,000
46730464;1,7700043;9996,000
46740452;1,7700043;9988,000
46750456;1,7899933;10004,000
46760436;1,7899933;9980,000
46770424;1,800003;9988,000
46780400;1,800003;9976,000
46790420;1,800003;10020,000
46800432;1,7899933;10012,000
46810408;1,7899933;9976,000
46820388;1,7899933;9980,000
46830396;1,800003;10008,000
46840380;1,800003;9984,000
46850372;1,8099976;9992,000
46860372;1,8099976;10000,000
46870372;1,8099976;10000,000
46880344;1,800003;9972,000
46890320;1,7899933;9976,000
46900340;1,6900024;10020,000
46910308;1,6000061;9968,000
46920300;1,550003;9992,000
46930268;1,6000061;9968,000
46940276;1,6600037;10008,000
46950260;1,6900024;9984,000
46960264;1,8099976;10004,000
46970252;2,0299988;9988,000
46980236;2,3200073;9984,000
46990224;2,6399994;9988,000
47000200;2,9700012;9976,000
47010208;3,2799988;10008,000
47020176;3,5299988;9968,000
47030188;3,699997;10012,000
47040160;3,7899933;9972,000
47050188;3,850006;10028,000
47060164;3,9100037;9976,000
