t (s);roll (deg);cons (deg);TL (%);TR (%)
0;-9.940002;-10;40.13;39.86
0.010008;-9.949997;-10;40.19;39.8
0.019971;-9.960007;-10;40.09;39.9
0.029964;-9.970001;-10;40.17;39.82
0.039968;-9.970001;-10;40.24;39.75
0.049988;-9.970001;-10;40.28;39.71
0.059976;-9.970001;-10;40.26;39.73
0.069955;-9.979996;-10;40.17;39.82
0.079952;-9.9900055;-10;40.17;39.82
0.089956;-10;-10;40.19;39.8
0.099945;-10;-10;40.21;39.78
0.109924;-10;-10;40.25;39.74
0.119899;-10;-10;40.21;39.78
0.129928;-10.0099945;-10;40.18;39.81
0.139908;-10.0099945;-10;40.22;39.77
0.149904;-10.0099945;-10;40.21;39.78
0.159883;-10.029999;-10;40.12;39.87
0.169897;-10.039993;-10;40.1;39.89
0.17988;-10.050003;-10;40.11;39.88
0.189872;-10.070007;-10;40.03;39.96
0.19984;-10.089996;-10;40.03;39.96
0.209848;-10.110001;-10;40.02;39.97
0.219868;-10.119995;-10;40.06;39.93
0.229816;-10.130005;-10;40.07;39.92
0.239816;-10.149994;-10;40.05;39.94
0.249839;-10.169998;-10;40.02;39.97
0.259824;-10.169998;-10;40.12;39.87
0.269821;-10.199997;-10;39.94;40.05
0.279796;-10.210007;-10;40.04;39.95
0.289812;-10.229996;-10;39.94;40.05
0.300176;-10.2400055;-10;40.03;39.96
0.309784;-10.2599945;-10;39.93;40.06
0.319755;-10.270004;-10;40.09;39.9
0.329784;-10.289993;-10;39.92;40.07
0.340156;-10.300003;-10;40.04;39.95
0.349744;-10.309998;-10;39.99;40
0.359748;-10.320007;-10;40.03;39.96
0.369745;-10.339996;-10;39.97;40.02
0.379724;-10.350006;-10;39.94;40.05
0.389713;-10.360001;-10;40.01;39.98
0.399696;-10.369995;-10;40.02;39.97
0.409719;-10.380005;-10;40.06;39.93
0.419708;-10.389999;-10;40.01;39.98
0.429697;-10.399994;-10;39.99;40
0.440076;-10.399994;-10;40.04;39.95
0.44968;-10.410004;-10;39.99;40
0.459655;-10.419998;-10;39.95;40.04
0.469656;-10.429993;-10;40.02;39.97
0.479641;-10.440002;-10;39.95;40.04
0.489641;-10.440002;-10;40.01;39.98
0.499631;-10.449997;-10;40.01;39.98
0.509624;-10.460007;-10;40;39.99
0.51962;-10.460007;-10;39.99;40
0.529617;-10.460007;-10;40.09;39.9
0.539625;-10.460007;-10;40.04;39.95
0.549628;-10.460007;-10;40.07;39.92
0.559593;-10.460007;-10;40.08;39.91
0.569604;-10.440002;-10;40.19;39.8
0.579595;-10.419998;-10;40.25;39.74
0.589576;-10.410004;-10;40.24;39.75
0.599956;-10.389999;-10;40.29;39.7
0.609552;-10.360001;-10;40.32;39.67
0.619548;-10.339996;-10;40.35;39.64
0.629545;-10.309998;-10;40.4;39.59
0.639548;-10.279999;-10;40.38;39.61
0.649536;-10.25;-10;40.46;39.53
0.659511;-10.220001;-10;40.39;39.6
0.669521;-10.190002;-10;40.45;39.54
0.679528;-10.169998;-10;40.34;39.65
0.689508;-10.139999;-10;40.43;39.56
0.699516;-10.110001;-10;40.49;39.5
0.709491;-10.089996;-10;40.38;39.61
0.719465;-10.050003;-10;40.52;39.47
0.72948;-10.029999;-10;40.47;39.52
0.739452;-10;-10;40.44;39.55
0.749452;-9.970001;-10;40.49;39.5
0.759448;-9.949997;-10;40.45;39.54
0.769443;-9.929993;-10;40.43;39.56
0.779436;-9.910004;-10;40.46;39.53
