t (s);roll (deg);cons (deg);TL (%);TR (%)
0.999236;1.0099945;0.0;40.94;39.05
1.009212;1.0099945;0.0;40.89;39.1
1.019196;1.0099945;0.0;40.89;39.1
1.0292;1.0099945;0.0;40.9;39.09
1.039188;1.0099945;0.0;40.9;39.09
1.04916;1.0099945;0.0;40.9;39.09
1.059168;1.0099945;0.0;40.9;39.09
1.06916;1.0;0.0;40.84;39.15
1.07916;0.9799957;0.0;40.68;39.31
1.089128;0.94999695;0.0;40.59;39.4
1.099132;0.91000366;0.0;40.44;39.55
1.109148;0.8600006;0.0;40.36;39.63
1.119124;0.80000305;0.0;40.2;39.79
1.129096;0.7100067;0.0;39.95;40.04
1.139092;0.6199951;0.0;39.77;40.22
1.149084;0.5099945;0.0;39.67;40.32
1.159068;0.3999939;0.0;39.56;40.43
1.169056;0.27000427;0.0;39.37;40.62
1.179044;0.13999939;0.0;39.24;40.75
1.18906;-0.009994507;0.0;39.05;40.94
1.199044;-0.1499939;0.0;39.0;40.99
1.209036;-0.30000305;0.0;38.95;41.04
1.219024;-0.44999695;0.0;38.89;41.1
1.229008;-0.6100006;0.0;38.77;41.22
1.239012;-0.7700043;0.0;38.64;41.35
1.249012;-0.91999817;0.0;38.66;41.33
1.258988;-1.0899963;0.0;38.53;41.46
1.26898;-1.25;0.0;38.47;41.52
1.278984;-1.4100037;0.0;38.42;41.57
1.288976;-1.5700073;0.0;38.36;41.63
1.298956;-1.7200012;0.0;38.45;41.54
1.30896;-1.8800049;0.0;38.24;41.75
1.31896;-2.0299988;0.0;38.34;41.65
1.328952;-2.1699982;0.0;38.28;41.71
1.33892;-2.3200073;0.0;38.22;41.77
1.34894;-2.4600067;0.0;38.25;41.74
1.358936;-2.5899963;0.0;38.33;41.66
1.368936;-2.7100067;0.0;38.34;41.65
1.3789;-2.8200073;0.0;38.42;41.57
1.388884;-2.9199982;0.0;38.41;41.58
1.39888;-3.0200043;0.0;38.44;41.55
1.408872;-3.1100006;0.0;38.53;41.46
1.418864;-3.199997;0.0;38.49;41.5
1.428844;-3.2700043;0.0;38.6;41.39
1.43886;-3.3399963;0.0;38.6;41.39
1.448844;-3.3899994;0.0;38.69;41.3
1.45884;-3.4400024;0.0;38.78;41.21
1.468828;-3.4900055;0.0;38.75;41.24
1.478848;-3.5299988;0.0;38.72;41.27
1.489232;-3.5599976;0.0;38.86;41.13
1.49884;-3.5800018;0.0;38.9;41.09
1.50884;-3.600006;0.0;38.97;41.02
1.518832;-3.6100006;0.0;39.02;40.97
1.528808;-3.6100006;0.0;39.06;40.93
1.538808;-3.6100006;0.0;39.15;40.84
1.548792;-3.600006;0.0;39.12;40.87
1.5588;-3.5800018;0.0;39.24;40.75
1.568772;-3.5599976;0.0;39.33;40.66
1.578772;-3.5299988;0.0;39.3;40.69
1.589152;-3.5;0.0;39.37;40.62
1.59876;-3.4700012;0.0;39.38;40.61
1.608756;-3.4299927;0.0;39.43;40.56
1.618748;-3.3899994;0.0;39.46;40.53
1.628736;-3.3399963;0.0;39.5;40.49
1.638708;-3.2899933;0.0;39.59;40.4
1.648712;-3.2400055;0.0;39.59;40.4
1.658712;-3.1900024;0.0;39.58;40.41
1.668688;-3.130005;0.0;39.65;40.34
1.678676;-3.0700073;0.0;39.67;40.32
1.68868;-3.0099945;0.0;39.66;40.33
1.6987;-2.949997;0.0;39.67;40.32
1.70868;-2.8899994;0.0;39.75;40.24
1.718652;-2.8300018;0.0;39.69;40.3
1.72866;-2.7599945;0.0;39.79;40.2
1.738684;-2.6900024;0.0;39.79;40.2
1.74904;-2.619995;0.0;39.78;40.21
1.758648;-2.5599976;0.0;39.83;40.16
1.768636;-2.5;0.0;39.74;40.25
1.778644;-2.4400024;0.0;39.73;40.26
1.788636;-2.369995;0.0;39.82;40.17
1.798612;-2.3200073;0.0;39.76;40.23
1.808628;-2.2599945;0.0;39.76;40.23
1.818624;-2.199997;0.0;39.78;40.21
1.828608;-2.1399994;0.0;39.79;40.2
1.8386;-2.0700073;0.0;39.87;40.12
1.848592;-2.0099945;0.0;39.88;40.11
1.858592;-1.9400024;0.0;39.88;40.11
1.868584;-1.8699951;0.0;39.92;40.07
1.878568;-1.800003;0.0;40.01;39.98
1.888544;-1.7200012;0.0;40.11;39.88
1.898564;-1.6399994;0.0;40.01;39.98
1.90858;-1.5599976;0.0;40.12;39.87
1.918548;-1.4900055;0.0;40.11;39.88
1.928532;-1.4100037;0.0;40.15;39.84
1.938532;-1.3399963;0.0;40.1;39.89
1.948536;-1.25;0.0;40.22;39.77
1.958552;-1.1799927;0.0;40.11;39.88
1.968512;-1.1100006;0.0;40.13;39.86
1.978524;-1.050003;0.0;40.12;39.87
1.988524;-0.9799957;0.0;40.16;39.83
1.998496;-0.91000366;0.0;40.17;39.82
2.008472;-0.83999634;0.0;40.17;39.82
2.018476;-0.7799988;0.0;40.07;39.92
2.028452;-0.7200012;0.0;40.16;39.83
2.03846;-0.66000366;0.0;40.16;39.83
2.048428;-0.6000061;0.0;40.07;39.92
2.058444;-0.55000305;0.0;40.13;39.86
2.068448;-0.5;0.0;40.08;39.91
2.078436;-0.44000244;0.0;40.1;39.89
2.088412;-0.3999939;0.0;40.01;39.98
2.098396;-0.3500061;0.0;40.11;39.88
2.108392;-0.30999756;0.0;40.05;39.94
2.118392;-0.27000427;0.0;40.08;39.91
2.128376;-0.22999573;0.0;40.02;39.97
2.138384;-0.19000244;0.0;40.01;39.98
2.148368;-0.16000366;0.0;40.03;39.96
2.158384;-0.11999512;0.0;40.04;39.95
2.168356;-0.08000183;0.0;40.05;39.94
2.178368;-0.05000305;0.0;40.0;39.99
2.188356;-0.020004272;0.0;39.98;40.01
2.198368;0.0;0.0;39.97;40.02
2.208752;0.020004272;0.0;39.9;40.09
2.218356;0.039993286;0.0;39.86;40.13
2.228332;0.05000305;0.0;39.89;40.1
2.238344;0.05999756;0.0;39.79;40.2
2.248316;0.070007324;0.0;39.77;40.22
2.258308;0.070007324;0.0;39.77;40.22
2.26832;0.08000183;0.0;39.79;40.2
2.278288;0.08999634;0.0;39.8;40.19
2.288272;0.08000183;0.0;39.7;40.29
2.298252;0.08000183;0.0;39.71;40.28
2.308268;0.08000183;0.0;39.73;40.26
2.318256;0.08999634;0.0;39.74;40.25
2.32826;0.08000183;0.0;39.65;40.34
2.338244;0.070007324;0.0;39.58;40.41
2.348244;0.05999756;0.0;39.63;40.36
2.358236;0.039993286;0.0;39.55;40.44
2.368236;0.02999878;0.0;39.56;40.43
2.378224;0.009994507;0.0;39.48;40.51
2.388212;0.0;0.0;39.55;40.44
2.398196;-0.02999878;0.0;39.46;40.53
2.4082;-0.05000305;0.0;39.45;40.54
2.418184;-0.05999756;0.0;39.53;40.46
2.428172;-0.08000183;0.0;39.45;40.54
2.438152;-0.1000061;0.0;39.43;40.56
2.448144;-0.11999512;0.0;39.49;40.5
2.458132;-0.13999939;0.0;39.4;40.59
2.468128;-0.1499939;0.0;39.48;40.51
2.478108;-0.16999817;0.0;39.47;40.52
2.488132;-0.19000244;0.0;39.38;40.61
2.498096;-0.21000671;0.0;39.46;40.53
2.508096;-0.22000122;0.0;39.46;40.53
2.5181;-0.2400055;0.0;39.44;40.55
2.528092;-0.2599945;0.0;39.43;40.56
2.538084;-0.27999878;0.0;39.35;40.64
2.54808;-0.2899933;0.0;39.41;40.58
2.55806;-0.30999756;0.0;39.43;40.56
2.56806;-0.33000183;0.0;39.4;40.59
2.578032;-0.33999634;0.0;39.41;40.58
2.588036;-0.3500061;0.0;39.41;40.58
2.598044;-0.38000488;0.0;39.32;40.67
2.608028;-0.38000488;0.0;39.47;40.52
2.618044;-0.3899994;0.0;39.48;40.51
2.62802;-0.38000488;0.0;39.65;40.34
2.638016;-0.38000488;0.0;39.61;40.38
2.648;-0.3500061;0.0;39.78;40.21
2.657984;-0.33000183;0.0;39.78;40.21
2.667988;-0.30999756;0.0;39.81;40.18
2.677976;-0.27999878;0.0;39.88;40.11
2.687964;-0.2400055;0.0;39.98;40.01
2.697964;-0.21000671;0.0;39.98;40.01
2.707952;-0.16000366;0.0;40.15;39.84
2.717948;-0.11000061;0.0;40.08;39.91
2.72796;-0.05999756;0.0;40.24;39.75
2.737968;0.0;0.0;40.27;39.72
2.747944;0.05999756;0.0;40.28;39.71
2.75794;0.11999512;0.0;40.35;39.64
