t (s);roll (deg);cons (deg);TL (%);TR (%)
1.698688;0.33000183;0.0;51.8;28.19
1.70868;0.33999634;0.0;40.77;39.22
1.718672;0.33000183;0.0;40.71;39.28
1.72866;0.33999634;0.0;40.8;39.19
1.73866;0.33999634;0.0;40.71;39.28
1.748652;0.33999634;0.0;40.79;39.2
1.758656;0.33000183;0.0;40.66;39.33
1.768648;0.33000183;0.0;40.72;39.27
1.778624;0.33999634;0.0;40.87;39.12
1.78862;0.3500061;0.0;40.89;39.1
1.798604;0.38000488;0.0;41.03;38.96
1.808596;0.41000366;0.0;41.12;38.87
1.818592;0.44000244;0.0;41.13;38.86
1.8286;0.47999573;0.0;41.24;38.75
1.83858;0.5299988;0.0;41.32;38.67
1.84856;0.58999634;0.0;41.5;38.49
1.858556;0.6499939;0.0;41.43;38.56
1.868552;0.7200012;0.0;41.67;38.32
1.878568;0.7899933;0.0;41.64;38.35
1.888536;0.8600006;0.0;41.68;38.31
1.898548;0.91999817;0.0;41.68;38.31
1.908536;0.9900055;0.0;41.72;38.27
1.918524;1.0599976;0.0;41.75;38.24
1.928512;1.1199951;0.0;41.71;38.28
1.938504;1.1900024;0.0;41.81;38.18
1.9485;1.2400055;0.0;41.62;38.37
1.958492;1.300003;0.0;41.75;38.24
1.9685;1.3399963;0.0;41.59;38.4
1.978468;1.3699951;0.0;41.53;38.46
1.98846;1.3999939;0.0;41.46;38.53
1.998472;1.4199982;0.0;41.37;38.62
2.00846;1.4299927;0.0;41.3;38.69
2.018476;1.4199982;0.0;41.09;38.9
2.028424;1.3999939;0.0;40.99;39.0
2.038436;1.3699951;0.0;40.93;39.06
2.048436;1.3300018;0.0;40.71;39.28
2.058436;1.2700043;0.0;40.56;39.43
2.068416;1.199997;0.0;40.44;39.55
2.0784;1.1300049;0.0;40.38;39.61
2.088404;1.0399933;0.0;40.18;39.81
2.098392;0.94000244;0.0;40.05;39.94
2.108376;0.83999634;0.0;40.0;39.99
2.11838;0.7200012;0.0;39.74;40.25
2.128364;0.6000061;0.0;39.72;40.27
2.13836;0.47999573;0.0;39.66;40.33
2.148352;0.33999634;0.0;39.44;40.55
2.158344;0.21000671;0.0;39.46;40.53
2.168344;0.070007324;0.0;39.37;40.62
2.17834;-0.070007324;0.0;39.21;40.78
2.188292;-0.21000671;0.0;39.23;40.76
2.198292;-0.3600006;0.0;39.12;40.87
2.2083;-0.5200043;0.0;38.9;41.09
2.218296;-0.6799927;0.0;38.89;41.1
2.228284;-0.83000183;0.0;38.98;41.01
2.238292;-1.0;0.0;38.64;41.35
2.248268;-1.1499939;0.0;38.78;41.21
2.258276;-1.3099976;0.0;38.66;41.33
2.268648;-1.4799957;0.0;38.57;41.42
2.278244;-1.6300049;0.0;38.51;41.48
2.288256;-1.7899933;0.0;38.55;41.44
2.298236;-1.9400024;0.0;38.48;41.51
2.308212;-2.0800018;0.0;38.54;41.45
2.318212;-2.2299957;0.0;38.46;41.53
2.328204;-2.3600006;0.0;38.54;41.45
2.33818;-2.4799957;0.0;38.58;41.41
2.348192;-2.6100006;0.0;38.5;41.49
2.35818;-2.7299957;0.0;38.57;41.42
2.368156;-2.850006;0.0;38.48;41.51
2.378176;-2.949997;0.0;38.6;41.39
2.388164;-3.050003;0.0;38.56;41.43
2.398148;-3.149994;0.0;38.53;41.46
2.40814;-3.25;0.0;38.58;41.41
2.41814;-3.3300018;0.0;38.66;41.33
2.428116;-3.4100037;0.0;38.6;41.39
2.438124;-3.4799957;0.0;38.74;41.25
2.4481;-3.550003;0.0;38.64;41.35
2.458104;-3.600006;0.0;38.77;41.22
2.468112;-3.649994;0.0;38.79;41.2
2.478096;-3.6900024;0.0;38.93;41.06
2.488088;-3.7200012;0.0;38.91;41.08
2.49808;-3.7400055;0.0;39.05;40.94
2.50808;-3.7700043;0.0;38.98;41.01
2.518088;-3.7799988;0.0;39.07;40.92
2.528076;-3.7899933;0.0;39.12;40.87
2.538068;-3.800003;0.0;39.06;40.93
2.548064;-3.7899933;0.0;39.19;40.8
2.55804;-3.7899933;0.0;39.18;40.81
2.568064;-3.7899933;0.0;39.16;40.83
2.578056;-3.7700043;0.0;39.23;40.76
2.588036;-3.7599945;0.0;39.22;40.77
2.598016;-3.7400055;0.0;39.28;40.71
2.608016;-3.7200012;0.0;39.32;40.67
2.618;-3.699997;0.0;39.28;40.71
2.627996;-3.6699982;0.0;39.41;40.58
2.637988;-3.630005;0.0;39.42;40.57
2.647976;-3.600006;0.0;39.41;40.58
2.657956;-3.550003;0.0;39.5;40.49
2.667964;-3.5099945;0.0;39.47;40.52
2.677936;-3.4600067;0.0;39.59;40.4
2.687936;-3.399994;0.0;39.67;40.32
2.697916;-3.350006;0.0;39.65;40.34
2.70792;-3.2799988;0.0;39.7;40.29
2.717928;-3.2200012;0.0;39.77;40.22
2.727912;-3.149994;0.0;39.82;40.17
2.73792;-3.0800018;0.0;39.8;40.19
2.747904;-3.0099945;0.0;39.84;40.15
2.757912;-2.9299927;0.0;39.91;40.08
2.7679;-2.850006;0.0;39.98;40.01
2.77788;-2.7700043;0.0;39.92;40.07
2.787884;-2.6900024;0.0;40.01;39.98
2.797872;-2.6100006;0.0;39.96;40.03
2.80786;-2.5299988;0.0;40.03;39.96
2.817844;-2.449997;0.0;40.0;39.99
2.827832;-2.380005;0.0;39.98;40.01
2.837828;-2.3099976;0.0;39.92;40.07
2.848228;-2.2400055;0.0;39.94;40.05
2.857804;-2.1699982;0.0;39.97;40.02
2.867812;-2.100006;0.0;40.01;39.98
2.877816;-2.0200043;0.0;40.02;39.97
2.88782;-1.949997;0.0;40.09;39.9
2.8978;-1.8600006;0.0;40.14;39.85
2.907772;-1.7899933;0.0;40.12;39.87
2.917804;-1.7100067;0.0;40.11;39.88
2.927764;-1.6399994;0.0;40.07;39.92
2.937768;-1.5700073;0.0;40.15;39.84
2.947736;-1.4900055;0.0;40.15;39.84
2.957756;-1.4100037;0.0;40.24;39.75
2.967768;-1.3399963;0.0;40.15;39.84
2.97772;-1.2700043;0.0;40.2;39.79
2.987712;-1.1900024;0.0;40.3;39.69
2.997732;-1.1100006;0.0;40.25;39.74
3.007716;-1.0399933;0.0;40.26;39.73
3.017708;-0.9600067;0.0;40.26;39.73
3.0277;-0.8899994;0.0;40.31;39.68
3.0377;-0.8200073;0.0;40.22;39.77
3.04768;-0.7599945;0.0;40.2;39.79
3.057692;-0.69000244;0.0;40.31;39.68
3.067672;-0.6300049;0.0;40.25;39.74
3.07768;-0.5700073;0.0;40.27;39.72
3.08804;-0.5;0.0;40.32;39.67
3.097632;-0.44000244;0.0;40.33;39.66
3.107628;-0.38000488;0.0;40.3;39.69
3.117616;-0.32000732;0.0;40.21;39.78
3.127632;-0.27000427;0.0;40.31;39.68
3.137612;-0.21000671;0.0;40.32;39.67
3.147604;-0.1499939;0.0;40.31;39.68
3.157612;-0.08999634;0.0;40.43;39.56
3.16762;-0.02999878;0.0;40.42;39.57
3.177612;0.039993286;0.0;40.48;39.51
3.187584;0.11000061;0.0;40.54;39.45
3.197588;0.17999268;0.0;40.56;39.43
3.20756;0.25;0.0;40.64;39.35
3.21756;0.32000732;0.0;40.61;39.38
3.227564;0.3999939;0.0;40.75;39.24
3.237556;0.47000122;0.0;40.71;39.28
3.24756;0.55000305;0.0;40.79;39.2
3.257536;0.6399994;0.0;40.88;39.11
3.26752;0.7200012;0.0;40.94;39.05
3.27752;0.80000305;0.0;40.84;39.15
3.28752;0.8999939;0.0;41.15;38.84
3.2975;0.9799957;0.0;41.02;38.97
3.307496;1.0599976;0.0;41.02;38.97
3.317492;1.1300049;0.0;40.92;39.07
3.32746;1.2200012;0.0;41.12;38.87
3.337464;1.3200073;0.0;41.3;38.69
