t (s);roll (deg);cons (deg);TL (%);TR (%)
0;-0.27999878;0;41.08;38.91
0.00999200000000044;-0.2400055;0;41.2;38.79
0.0199999999999996;-0.19999695;0;41.2;38.79
0.0299800000000001;-0.1499939;0;41.28;38.71
0.0399759999999993;-0.11000061;0;41.28;38.71
0.0499799999999997;-0.070007324;0;41.29;38.7
0.059984;-0.02999878;0;41.28;38.71
0.0699760000000005;0.020004272;0;41.33;38.66
0.0799640000000004;0.05999756;0;41.26;38.73
0.0899520000000003;0.1000061;0;41.37;38.62
0.0999400000000001;0.13999939;0;41.28;38.71
0.109952;0.16000366;0;41.19;38.8
0.119911999999999;0.19999695;0;41.28;38.71
0.129904;0.22999573;0;41.25;38.74
0.139887999999999;0.25;0;41.11;38.88
0.149884;0.27000427;0;41.2;38.79
0.159872;0.27999878;0;41.06;38.93
0.169876;0.2899933;0;41;38.99
0.179876;0.2899933;0;41.05;38.94
0.189859999999999;0.30000305;0;40.96;39.03
0.19984;0.2899933;0;40.87;39.12
0.209828;0.27000427;0;40.79;39.2
0.219828;0.2599945;0;40.81;39.18
0.229839999999999;0.2400055;0;40.78;39.21
0.239824;0.2400055;0;40.84;39.15
0.249803999999999;0.22000122;0;40.8;39.19
0.259788;0.21000671;0;40.76;39.23
0.269795999999999;0.17999268;0;40.67;39.32
0.279788;0.16000366;0;40.73;39.26
0.289771999999999;0.13999939;0;40.63;39.36
0.299792;0.11000061;0;40.62;39.37
0.309768;0.1000061;0;40.75;39.24
0.319784;0.08000183;0;40.68;39.31
0.32976;0.05999756;0;40.74;39.25
0.339767999999999;0.05000305;0;40.78;39.21
0.34976;0.05000305;0;40.85;39.14
0.359767999999999;0.039993286;0;40.83;39.16
0.369759999999999;0.05000305;0;41;38.99
0.379735999999999;0.070007324;0;41.04;38.95
0.389728;0.08000183;0;41.04;38.95
0.39972;0.08999634;0;41.07;38.92
0.409708;0.11999512;0;41.23;38.76
0.419696;0.13999939;0;41.11;38.88
0.429679999999999;0.16000366;0;41.17;38.82
0.439676;0.19000244;0;41.24;38.75
0.449655999999999;0.22000122;0;41.23;38.76
0.459655999999999;0.2599945;0;41.44;38.55
0.469631999999999;0.30000305;0;41.33;38.66
0.479652;0.33000183;0;41.32;38.67
0.489635999999999;0.3600006;0;41.32;38.67
0.499611999999999;0.3999939;0;41.4;38.59
0.50962;0.42999268;0;41.37;38.62
0.519639999999999;0.4600067;0;41.41;38.58
0.52962;0.4900055;0;41.32;38.67
0.539603999999999;0.5;0;41.21;38.78
0.549579999999999;0.5299988;0;41.33;38.66
0.559592;0.5299988;0;41.15;38.84
0.569583999999999;0.55000305;0;41.21;38.78
0.579552;0.55000305;0;41.07;38.92
0.589556;0.55000305;0;41.1;38.89
0.599556;0.55000305;0;41.07;38.92
0.609544;0.55000305;0;41.16;38.83
0.619543999999999;0.5399933;0;40.99;39
0.629555999999999;0.5399933;0;41.01;38.98
0.639548;0.5299988;0;41;38.99
0.649543999999999;0.5099945;0;40.87;39.12
0.659523999999999;0.4900055;0;40.85;39.14
0.669516;0.4600067;0;40.83;39.16
0.679508;0.44000244;0;40.85;39.14
0.689484;0.41000366;0;40.74;39.25
0.699479999999999;0.3899994;0;40.79;39.2
0.709479999999999;0.3600006;0;40.72;39.27
0.719448;0.32000732;0;40.67;39.32
0.729448;0.2899933;0;40.71;39.28
0.739443999999999;0.2599945;0;40.66;39.33
0.749428;0.22000122;0;40.57;39.42
0.759428;0.17999268;0;40.59;39.4
0.76942;0.13999939;0;40.54;39.45
0.779415999999999;0.08999634;0;40.46;39.53
0.789412;0.039993286;0;40.46;39.53
0.7994;-0.009994507;0;40.33;39.66
0.809391999999999;-0.070007324;0;40.31;39.68
0.819364;-0.11999512;0;40.34;39.65
0.829355999999999;-0.17999268;0;40.28;39.71
0.839352;-0.22999573;0;40.36;39.63
0.849335999999999;-0.27000427;0;40.4;39.59
0.859356;-0.32000732;0;40.31;39.68
0.86936;-0.3500061;0;40.49;39.5
0.879327999999999;-0.38000488;0;40.46;39.53
0.889332;-0.41000366;0;40.51;39.48
0.899331999999999;-0.44000244;0;40.48;39.51
