t (s);roll (deg);cons (deg);TL (%);TR (%)
1.593816;0.3899994;0.0;17.15;62.84
1.598828;0.3899994;0.0;40.77;39.22
1.603808;0.3899994;0.0;40.78;39.21
1.608788;0.3899994;0.0;40.78;39.21
1.613788;0.3899994;0.0;40.79;39.2
1.618796;0.3899994;0.0;40.79;39.2
1.623776;0.3899994;0.0;40.8;39.19
1.628788;0.3899994;0.0;40.87;39.12
1.63376;0.3999939;0.0;40.98;39.01
1.638776;0.3899994;0.0;40.66;39.33
1.64416;0.3999939;0.0;40.92;39.07
1.648768;0.3999939;0.0;40.79;39.2
1.653756;0.3899994;0.0;40.6;39.39
1.658768;0.3899994;0.0;40.88;39.11
1.663756;0.3899994;0.0;40.67;39.32
1.668736;0.3899994;0.0;40.89;39.1
1.673732;0.3899994;0.0;40.75;39.24
1.678732;0.3899994;0.0;40.82;39.17
1.683716;0.3899994;0.0;40.99;39.0
1.68872;0.38000488;0.0;40.53;39.46
1.693696;0.38000488;0.0;40.83;39.16
1.69872;0.36999512;0.0;40.57;39.42
1.703708;0.36999512;0.0;40.6;39.39
1.708704;0.3600006;0.0;40.83;39.16
1.713692;0.3600006;0.0;40.53;39.46
1.718704;0.3500061;0.0;40.59;39.4
1.723708;0.33999634;0.0;40.67;39.32
1.728688;0.33999634;0.0;40.76;39.23
1.733692;0.33000183;0.0;40.6;39.39
1.73868;0.33000183;0.0;40.6;39.39
1.743668;0.32000732;0.0;40.53;39.46
1.748684;0.30999756;0.0;40.6;39.39
1.75366;0.30000305;0.0;40.37;39.62
1.758664;0.2899933;0.0;40.68;39.31
1.763664;0.27999878;0.0;40.42;39.57
1.768648;0.27000427;0.0;40.52;39.47
1.773636;0.27000427;0.0;40.74;39.25
1.778648;0.25;0.0;40.26;39.73
1.783656;0.25;0.0;40.51;39.48
1.788636;0.22999573;0.0;40.42;39.57
1.793644;0.22000122;0.0;40.4;39.59
1.798624;0.21000671;0.0;40.35;39.64
1.803648;0.19999695;0.0;40.36;39.63
1.808656;0.19000244;0.0;40.41;39.58
1.813632;0.16999817;0.0;40.09;39.9
1.818624;0.1499939;0.0;40.2;39.79
1.823608;0.13000488;0.0;40.07;39.92
1.828628;0.11999512;0.0;40.17;39.82
1.833616;0.1000061;0.0;40.13;39.86
1.838612;0.08000183;0.0;40.04;39.95
1.84362;0.05999756;0.0;39.98;40.01
1.848608;0.039993286;0.0;40.02;39.97
1.853616;0.020004272;0.0;40.04;39.95
1.858628;0.0;0.0;39.82;40.17
1.863584;-0.02999878;0.0;39.8;40.19
1.868596;-0.05000305;0.0;39.79;40.2
1.873584;-0.070007324;0.0;39.83;40.16
1.878976;-0.1000061;0.0;39.65;40.34
1.883568;-0.13000488;0.0;39.4;40.59
1.88858;-0.16000366;0.0;39.52;40.47
1.893564;-0.19000244;0.0;39.44;40.55
1.898564;-0.22000122;0.0;39.39;40.6
1.903568;-0.25;0.0;39.39;40.6
1.90856;-0.27999878;0.0;39.35;40.64
1.913552;-0.32000732;0.0;39.03;40.96
1.918556;-0.3500061;0.0;39.52;40.47
1.923932;-0.3899994;0.0;38.98;41.01
1.928544;-0.41999817;0.0;39.29;40.7
1.933544;-0.4600067;0.0;38.85;41.14
1.938528;-0.4900055;0.0;39.23;40.76
1.943524;-0.5200043;0.0;38.97;41.02
1.948516;-0.55999756;0.0;38.96;41.03
1.95352;-0.58999634;0.0;39.05;40.94
1.95852;-0.6300049;0.0;38.81;41.18
1.963524;-0.66999817;0.0;38.75;41.24
1.968532;-0.69999695;0.0;38.84;41.15
1.973516;-0.7400055;0.0;38.56;41.43
1.978512;-0.7700043;0.0;38.84;41.15
1.983504;-0.8200073;0.0;38.39;41.6
1.988496;-0.8600006;0.0;38.55;41.44
1.9935;-0.8999939;0.0;38.34;41.65
1.998484;-0.94000244;0.0;38.38;41.61
2.003496;-0.9799957;0.0;38.47;41.52
2.008488;-1.0200043;0.0;38.3;41.69
2.01348;-1.0599976;0.0;38.41;41.58
2.018488;-1.0899963;0.0;38.46;41.53
2.023464;-1.1300049;0.0;38.33;41.66
2.02846;-1.1699982;0.0;38.25;41.74
2.033472;-1.199997;0.0;38.33;41.66
2.038488;-1.2299957;0.0;38.37;41.62
2.043464;-1.2599945;0.0;38.5;41.49
2.048472;-1.300003;0.0;38.25;41.74
2.053456;-1.3200073;0.0;38.46;41.53
2.058456;-1.3500061;0.0;38.23;41.76
2.063456;-1.3800049;0.0;38.34;41.65
2.068448;-1.4100037;0.0;38.13;41.86
2.073436;-1.4299927;0.0;38.54;41.45
2.07844;-1.4600067;0.0;38.25;41.74
2.08344;-1.4799957;0.0;38.5;41.49
2.088428;-1.5099945;0.0;38.15;41.84
2.093424;-1.5299988;0.0;38.49;41.5
2.098416;-1.5399933;0.0;38.43;41.56
2.103404;-1.5599976;0.0;38.43;41.56
2.108404;-1.5899963;0.0;38.1;41.89
