t (s);roll (deg);TL (%);TR (%)
79875388;-1.6399994;70.0;10.0
79885352;-1.6499939;39.29;40.7
79895376;-1.6499939;39.31;40.68
79905368;-1.6499939;39.31;40.68
79915352;-1.6499939;39.31;40.68
79925320;-1.6499939;39.31;40.68
79935304;-1.6499939;39.31;40.68
79945320;-1.6499939;39.31;40.68
79955296;-1.6399994;39.35;40.64
79965288;-1.6399994;39.33;40.66
79975288;-1.6399994;39.31;40.68
79985272;-1.6399994;39.29;40.7
79995260;-1.6499939;39.31;40.68
80005256;-1.6499939;39.31;40.68
80015244;-1.6499939;39.31;40.68
80025228;-1.6600037;39.27;40.72
80035248;-1.6600037;39.29;40.7
80045220;-1.6799927;39.25;40.74
80055228;-1.6900024;39.26;40.73
80065200;-1.699997;39.24;40.75
80075212;-1.7200012;39.21;40.78
80085176;-1.7400055;39.22;40.77
80095196;-1.7599945;39.2;40.79
80105164;-1.7899933;39.16;40.83
80115184;-1.8200073;39.12;40.87
80125156;-1.8500061;39.14;40.85
80135152;-1.8800049;39.12;40.87
80145536;-1.9100037;39.11;40.88
80155156;-1.9400024;39.07;40.92
80165148;-1.9600067;39.1;40.89
80175124;-2.0099945;39.01;40.98
80185100;-2.0299988;39.07;40.92
80195112;-2.0700073;39.02;40.97
80205100;-2.1100006;38.99;41.0
80215092;-2.1399994;38.99;41.0
80225072;-2.1699982;38.98;41.01
80235468;-2.2100067;38.95;41.04
80245084;-2.25;38.94;41.05
80255060;-2.2799988;38.93;41.06
80265048;-2.3099976;38.93;41.06
80275036;-2.3399963;38.92;41.07
80285044;-2.369995;38.91;41.08
80295016;-2.4100037;38.86;41.13
80305012;-2.4400024;38.88;41.11
80315016;-2.4700012;38.87;41.12
80325020;-2.5;38.87;41.12
80334988;-2.5200043;38.88;41.11
80345000;-2.5399933;38.85;41.14
80354980;-2.5599976;38.88;41.11
80364984;-2.5800018;38.85;41.14
80374980;-2.600006;38.86;41.13
80384992;-2.6100006;38.85;41.14
80394972;-2.619995;38.87;41.12
80404968;-2.630005;38.88;41.11
80414952;-2.6399994;38.85;41.14
80424932;-2.6399994;38.9;41.09
80434928;-2.6399994;38.91;41.08
80444924;-2.6399994;38.89;41.1
80454908;-2.6399994;38.91;41.08
80464888;-2.630005;38.92;41.07
80474888;-2.619995;38.93;41.06
80484904;-2.600006;38.98;41.01
80494884;-2.5899963;38.97;41.02
80504888;-2.5700073;39.01;40.98
80514864;-2.5299988;39.06;40.93
80524872;-2.5;39.06;40.93
80534852;-2.4700012;39.09;40.9
80544836;-2.4199982;39.13;40.86
80554816;-2.380005;39.15;40.84
80564848;-2.3300018;39.2;40.79
80574824;-2.2799988;39.21;40.78
80584796;-2.2299957;39.25;40.74
80594808;-2.1699982;39.29;40.7
80604800;-2.1100006;39.31;40.68
80614784;-2.050003;39.34;40.65
80624760;-1.9700012;39.44;40.55
80634772;-1.9100037;39.41;40.58
80644764;-1.8399963;39.45;40.54
80654736;-1.7599945;39.52;40.47
80664724;-1.6799927;39.56;40.43
80674720;-1.6000061;39.59;40.4
80684704;-1.5200043;39.66;40.33
80694700;-1.4299927;39.69;40.3
80704708;-1.3300018;39.75;40.24
80714704;-1.25;39.77;40.22
80724704;-1.1600037;39.82;40.17
80734684;-1.050003;39.9;40.09
80744692;-0.9600067;39.92;40.07
80754668;-0.8600006;39.98;40.01
80764692;-0.7599945;40.01;39.98
80774672;-0.6499939;40.07;39.92
80784660;-0.55000305;40.13;39.86
80794648;-0.44000244;40.16;39.83
80804648;-0.33999634;40.2;39.79
80814644;-0.2400055;40.22;39.77
80824640;-0.13999939;40.27;39.72
80834632;-0.05000305;40.3;39.69
80844620;0.05000305;40.33;39.66
80854596;0.13999939;40.35;39.64
80864584;0.22999573;40.4;39.59
80874584;0.30999756;40.41;39.58
80884588;0.3999939;40.45;39.54
80894576;0.4900055;40.49;39.5
80904572;0.55999756;40.49;39.5
80914556;0.6399994;40.54;39.45
80924552;0.7200012;40.56;39.43
80934952;0.7899933;40.55;39.44
80944564;0.8600006;40.57;39.42
80954544;0.91000366;40.57;39.42
80964536;0.9700012;40.6;39.39
80974528;1.0299988;40.61;39.38
80984512;1.0899963;40.66;39.33
80994504;1.1399994;40.64;39.35
81004492;1.1900024;40.65;39.34
81014480;1.2299957;40.66;39.33
81024512;1.2700043;40.65;39.34
81034468;1.3099976;40.68;39.31
81044448;1.3399963;40.65;39.34
81054460;1.3699951;40.67;39.32
81064452;1.3999939;40.69;39.3
81074436;1.4199982;40.64;39.35
81084444;1.4400024;40.66;39.33
81094824;1.4400024;40.61;39.38
81104800;1.4600067;40.66;39.33
81114404;1.4600067;40.6;39.39
