t (s);roll (deg);TL (%);TR (%)
157635368;0.1499939;32.49;47.5
157644984;0.1499939;40.06;39.93
157654980;0.1499939;40.06;39.93
157664964;0.1499939;40.06;39.93
157674968;0.1499939;40.06;39.93
157684940;0.1499939;40.08;39.91
157694956;0.1499939;40.07;39.92
157704928;0.1499939;40.06;39.93
157714924;0.1499939;40.06;39.93
157724904;0.13999939;40.02;39.97
157734892;0.13999939;40.04;39.95
157744888;0.13000488;40.04;39.95
157754888;0.11999512;40.02;39.97
157764872;0.11999512;40.03;39.96
157774868;0.11000061;40.03;39.96
157784852;0.1000061;40.0;39.99
157794860;0.1000061;40.02;39.97
157804840;0.08999634;40.0;39.99
157814848;0.070007324;39.96;40.03
157824852;0.05000305;39.97;40.02
157834848;0.02999878;39.94;40.05
157844832;0.020004272;39.95;40.04
157854848;-0.009994507;39.91;40.08
157864816;-0.02999878;39.92;40.07
157874828;-0.05000305;39.91;40.08
157884788;-0.08000183;39.87;40.12
157894772;-0.11000061;39.85;40.14
157904768;-0.13000488;39.86;40.13
157914752;-0.16000366;39.83;40.16
157924744;-0.21000671;39.76;40.23
157934728;-0.2400055;39.8;40.19
157944716;-0.27999878;39.73;40.26
157954712;-0.32000732;39.73;40.26
157964708;-0.36999512;39.69;40.3
157974696;-0.41000366;39.66;40.33
157984704;-0.44999695;39.67;40.32
157994696;-0.5099945;39.58;40.41
158004692;-0.55999756;39.61;40.38
158014664;-0.6100006;39.55;40.44
158024672;-0.66999817;39.53;40.46
158034680;-0.7200012;39.51;40.48
158044660;-0.7700043;39.5;40.49
158054632;-0.8200073;39.48;40.51
158064636;-0.8800049;39.42;40.57
158074640;-0.9299927;39.43;40.56
158084624;-0.9799957;39.41;40.58
158094600;-1.0299988;39.39;40.6
158104612;-1.0800018;39.39;40.6
158114584;-1.1199951;39.37;40.62
158124588;-1.1699982;39.33;40.66
158134596;-1.2200012;39.33;40.66
158144580;-1.2599945;39.33;40.66
158154588;-1.300003;39.29;40.7
158164588;-1.3399963;39.31;40.68
158174576;-1.3699951;39.3;40.69
158184548;-1.4100037;39.28;40.71
158194548;-1.4299927;39.3;40.69
158204560;-1.4600067;39.29;40.7
158214516;-1.4799957;39.31;40.68
158224528;-1.4900055;39.31;40.68
158234516;-1.5099945;39.31;40.68
158244508;-1.5200043;39.31;40.68
158254492;-1.5200043;39.34;40.65
158264472;-1.5200043;39.35;40.64
158274512;-1.5099945;39.37;40.62
158284488;-1.5099945;39.35;40.64
158294464;-1.5;39.39;40.6
158304448;-1.4900055;39.39;40.6
158314436;-1.4700012;39.45;40.54
158324432;-1.449997;39.44;40.55
158334432;-1.4299927;39.45;40.54
158344444;-1.3999939;39.49;40.5
158354432;-1.3699951;39.53;40.46
158364428;-1.3399963;39.54;40.45
158374404;-1.300003;39.55;40.44
158384392;-1.2599945;39.59;40.4
158394384;-1.2200012;39.63;40.36
158404392;-1.1699982;39.65;40.34
158414392;-1.1300049;39.68;40.31
158424372;-1.0700073;39.74;40.25
158434352;-1.0099945;39.74;40.25
158444348;-0.94999695;39.82;40.17
158454340;-0.8800049;39.83;40.16
158464340;-0.80999756;39.88;40.11
158474316;-0.7400055;39.92;40.07
158484320;-0.66999817;39.94;40.05
158494324;-0.6000061;40.0;39.99
158504300;-0.5200043;40.02;39.97
